First,Second,Count
EVIL,SAYS,279
WILD,HOLE,107
THAT,YMIR,156
FORM,PART,826776
FIND,HERE,223567
BROW,ONTO,306
TERM,RATE,60638
LOOK,TAME,3278
MILK,DIET,56855
TEES,LINE,124
STOW,SAYS,4011
ONCE,MADE,450609
SUCH,BLUE,5733
WITH,POOH,1312
THAT,KEPT,646371
FLUX,ROPE,3944
TAIL,TAIL,2320
INTO,IRAQ,35117
PEER,SUCH,114
BURT,JOHN,137
ACTS,FORM,2550
LIKE,SOAK,44
HELP,CREW,417
WILL,BACK,59079
USED,HEMP,751
BETS,FROM,4659
LEFT,HERE,191649
GULT,LAND,149
EARL,GOLZ,432
REEL,CHEZ,470
EVEN,DOES,13792
THIS,WILL,9378073
SUNS,WHEN,710
STEP,MORE,34320
ZION,THIS,371
TYPE,THEY,25753
FAST,CUTS,1379
YOUR,MOOD,65267
LONG,DEAD,146487
THUS,KING,7495
HEAP,WILL,4184
THIS,BILL,1155373
PUTS,BACK,9478
HARD,CLAY,31307
ISVS,WERE,70
FACT,WERE,88255
WITH,NIEO,134
JAZZ,HAVE,3087
THAT,MOST,7650058
FELT,FEET,257
ALSO,THEY,286001
LINE,SNAP,618
RICK,RYAN,133
CITY,JILT,409
BUSY,HEAD,1909
GOOD,HEMP,1225
WERE,BACK,488465
THAT,HBIG,186
VERY,SPIN,109
FROM,STIG,271
PLUS,BILE,329
FORM,FILE,13905
YOUR,ONLY,263939
SAFE,LOAD,30182
ROOM,KNEW,10313
NAME,ROLE,1575
SALE,LEAD,118
THEY,HEAR,598054
TYPE,CARS,2756
SOME,SORT,4247278
FROM,DIRE,8815
MACY,ALSO,234
THAT,SUMS,43153
GAME,DOES,19446
MOST,WHAT,10426
WITS,WILL,3484
PART,BEEN,72660
LEFT,BARE,38680
NAIL,BEDS,18246
KNIT,FACE,133
PITT,EVEN,538
EXIT,FILE,887
WILL,BELL,2328
OECD,TASK,193
SAID,SAME,1166
MEAN,TIME,1278936
BEAR,RULE,22131
THIS,IINE,162
LAST,BOND,5280
DIPS,DOWN,20149
ENDS,THAT,132633
REAL,GEMS,5695
THIS,GROW,2885
AIDS,CARE,23273
FOOD,THAN,161398
LICL,NACL,266
HUSH,MADE,192
FROM,COED,439
SOME,HURT,11026
TYPE,LORD,69
FARM,SIZE,152393
LAST,LIVE,5169
COAT,GIRL,143
VERY,EYES,201023
ONLY,SCSI,329
BANK,ASIA,559
NODE,NAME,12009
SORT,SAID,745
CASE,SALT,479
YEAS,HAVE,208
LORD,MAYO,37467
LIKE,RETE,57
SAME,DRUG,36965
SOME,SITE,10655
HOAR,WENT,343
OPEN,TENT,5445
PLUS,GLUE,145
YANG,CHEN,2183
DOCH,WANN,55
TANK,WITH,119605
HUNT,LONG,1146
GELS,WERE,40469
VERY,ACID,32655
CORE,WICK,179
PINT,THEY,180
VENA,CAVA,646046
LONG,SOUL,1048
NEED,BONE,483
PASS,OVER,1028004
EVER,TOOK,149574
CABS,SPED,85
MALE,THAN,46824
TOPS,CAME,1184
GIFT,FROM,642664
SOON,SENT,33220
DOCK,ROAD,8382
TOLL,FROM,39471
HANG,WHAT,2670
MANA,WENT,80
DANS,TOUT,23818
ALSO,USED,3097062
LORD,HALE,24056
INES,THAT,697
AREA,LACK,935
WHEN,TOSH,214
FINN,MUST,654
OVER,COLL,87
TOUZ,CEUS,93
LUMP,TYPE,103
DARK,MAST,43
ALSO,RISE,45080
THAN,SIVE,1337
SEED,DOWN,3139
HEFT,THAN,349
EVEN,MORE,17084415
SURE,THAT,9905291
LEGS,SAID,1295
TANG,DATE,188
SETS,SAIL,22786
ONLY,GOAT,1450
BEEN,NICK,1996
ESBT,WILL,152
WHEN,LOAD,11861
TREE,LIMB,36907
CLAN,NAME,20749
TRAM,RIDE,6746
HALF,MOAN,1292
ECHO,HILL,704
REAL,MENU,289
WHIP,GAVE,509
CHIN,SETS,51
WILL,EINE,667
MUSL,GIVE,45
SINK,OVER,3596
ADAH,SAID,674
COIT,WITH,148
IRON,FILM,1440
LINK,BODY,615
CELE,GENT,148
REAP,TOWN,89
MUCH,HURT,79276
SUCH,DULL,9467
HAVE,HAIR,32884
FEME,TIME,1212
SAYS,LANE,1253
COMS,HAVE,491
KING,HANS,2762
TURN,ERGA,53
THEN,NEED,84135
SOME,CALL,149140
TENT,FLAP,25252
HOLY,DOME,536
WITH,LUTF,74
TAKE,PUCK,59
THAT,CAGE,16697
AWAY,CALL,590
REEL,UPON,916
HEAR,BOHR,74
TURN,YORK,44
MICA,THEN,87
DEBT,TIES,137
THAN,DATO,65
MASS,NACL,117
TIME,MIDI,358
ROME,PLUS,279
VERY,STAG,123
BEEN,ABLE,8569285
KIDS,ROAM,253
DIEM,LUNE,285
SIZE,LOSE,137
RAPT,AWAY,5326
TOWN,HIGH,9906
VICO,READ,87
THEY,FOOD,833
THAT,DOLL,15072
WARE,WERE,12821
PEAK,RATE,27379
FACT,FILM,420
ELSE,FAIL,4825
CUBE,FILE,682
JUST,TOOK,155301
JADE,USED,581
FINE,PATH,515
STEM,LINE,2878
RICH,AWAY,2254
EPIC,MODE,3114
HAIR,EYES,1245
VERY,KEEN,203319
PINE,ROOM,1461
FOUR,SETS,137466
VLPS,HAVE,341
SIDE,WILL,180830
TUBA,DOWN,55
CARD,CALL,5890
EACH,TIME,4019902
FROM,EGGS,72979
WIFE,ASKS,9826
BLUE,FLAG,47305
LAID,DOWN,5103803
TAKE,POST,30317
LEFT,SUCH,59578
SURE,ALSO,11669
MANY,ACES,1520
GOOD,GIRL,293428
WERE,SURE,507514
CUBS,DIED,255
NORM,THAT,65805
MINE,HEAD,8923
BENT,MICA,210
WANG,CHEN,9998
ARMY,FORM,3694
PAID,PLAN,447
CARE,SAID,1120
CETP,GENE,537
TOOL,WILL,58917
PUMP,WHEN,12417
FAHY,THAT,136
GREG,LONG,294
ASIA,WHOM,530
TOIL,HAVE,4273
MANY,HIGH,198550
ALSO,RASA,192
THEM,FORT,898
BACK,FROM,4546309
TUBE,ACTS,4970
THUS,AGED,557
BEEN,KEPT,1041585
LOVE,LOUD,211
LOOP,ONCE,2673
VAST,MASS,109294
HEAD,COME,11905
EVER,SOAK,98
SESA,WILL,580
WIND,KING,339
LESS,LOOP,167
WHOM,LIFE,54649
SEEM,AGES,575
DEFY,YOUR,5914
THAT,SODA,6425
CASH,ONLY,29150
DODD,MEAD,18469
FALL,SLOW,371
SAID,LEFT,3832
WITH,AJEW,60
HIGH,CAME,2813
TEAM,ROLE,6408
CORN,BACK,1498
THAN,KWAN,123
GUDE,KENS,656
CHIP,EACH,528
RISK,SLOW,76
LEFT,INTO,87212
FARM,WERE,41979
TEAR,THAT,46060
HOOP,SUCH,80
SOUL,INTO,212620
WOOD,FELT,2459
HEAD,TIME,1984
TAKE,SOME,1476004
BILL,SAID,121592
LATE,MIAN,267
WHAT,THEY,23651297
SENT,JACK,3521
FORE,LEGS,56181
THIS,TREE,484784
MINE,WILL,79332
ROSE,ETTA,196
MANY,HAVE,1312668
THAT,CHEN,16083
LOVE,WAYS,801
GIVE,LIER,80
TENT,BOAT,207
LIFE,WERE,780147
DUFY,WENT,69
THEY,EACH,405126
PLAN,LEFT,5096
ROOM,ARMS,59
TOSS,WHAT,885
TIME,DEAD,11038
PAUL,DANA,1869
SENT,BOLD,199
DOWN,FROM,4780371
JUST,FINE,500634
PLAY,CLIP,144
RULE,USED,22805
NOTE,XLII,693
OVEN,DOOR,42844
REED,SHOT,334
SOME,LORE,713
SHOT,THAN,18086
EZRA,SAID,7977
DUAL,WAGE,3141
LIKE,WORK,65728
KNEW,KENT,408
LOOK,WORN,7181
SPIN,INTO,8614
FAIL,EVEN,19962
SOME,DAME,2803
AREA,XIII,204
NESS,SAYS,229
STAY,MORE,33110
CODE,FROM,134472
MEET,FOLK,256
DONE,BOTH,58900
FROM,STYX,529
THAN,PITT,6186
CITY,WELL,18429
SOME,DANK,1580
JUST,SAID,665455
LELP,THEM,65
GARY,LOST,283
MAIL,BACK,9985
SATZ,ODER,218
EVER,GOOD,16418
HAVE,HOLE,550
PEAL,FROM,5156
NOTE,KEPT,621
FARM,DOOR,874
ALSO,FRUS,1688
SUNI,ZONE,66
READ,ARTS,990
THOU,MAKE,37294
TAIL,WHAT,401
MIND,TIME,4679
THEY,COME,3567197
MICH,SEHR,2927
DRIP,INTO,14854
MANY,FOUR,8226
EVER,STAY,8198
OVER,NEST,856
SOON,DOGS,119
THIS,MODE,1075576
THEY,STIR,27851
CREW,INTO,18018
HIGH,GONG,66
CAVE,ROSE,318
PUSH,AJAR,164
MORE,FEAR,54204
MUCH,GRIT,2332
THAT,KIND,2979578
SCAN,DOES,3979
SAME,YEAR,4224551
GIRL,SAFE,1288
JOIN,THEM,814522
BANK,MADE,28572
BASE,LIES,7264
DUAL,SORT,137
HELP,BEES,169
EXIT,TUBE,10982
ACRE,LATE,160
SUSY,THAT,305
WING,LOAD,1315
LONG,TAPS,247
THAT,NERI,963
HALF,TONS,28546
FROM,TRIM,3201
NELL,KNEW,1826
SUIT,WITH,219596
WITH,YOUR,11436222
THAT,LIMN,430
WITH,BIRD,57137
JOHN,WYON,141
FULL,WITH,166631
PAST,DUSK,1894
DOME,JUST,1110
ACTS,HERE,9390
BUYS,SALT,264
BRAY,FELL,50
MAKE,PLEA,710
FILE,FORM,70205
DRUG,DATA,5457
OVER,AMEN,50
FIVE,HENS,3402
FROM,LINE,214441
KIND,CAME,14034
BRED,TEAM,56
BOOK,HERO,4018
TWAS,SUCH,2528
WELL,WAIT,16094
YOUR,TOES,169960
POOR,ANDY,1474
THEM,META,170
JANE,POND,55
HIGH,SPIN,20642
WEBB,PAUL,44
HARD,FOAM,1048
BEST,DISC,285
WERE,DELL,191
ISDN,USED,100
BOAR,TUSK,1036
DROP,JAVA,68
SAYS,LOYD,77
SOON,JUAN,1369
WHEN,SEEN,376320
THCV,ALSO,54
MINE,EYES,224992
SELF,MADE,13888
POLE,WITH,86898
AXES,LIKE,1613
GAZE,RAPT,231
WITH,KITE,2694
SUCH,CAME,6113
HARI,HELD,65
THAT,WIRT,1808
LONG,JUMP,54322
LIVE,LAMB,1551
WHAT,SURE,1846
CHAP,RANG,83
CENT,THEY,9796
HIGH,EVEN,36984
WHAT,THIS,2423584
HAND,SLIP,7120
YOUR,MOST,816234
ACES,LIKE,528
IOWN,THAT,72
LADY,GODA,359
THAT,LUIS,13595
EDEN,GATE,248
THAN,CAST,19551
YOUR,VINE,4057
HESS,THAT,1752
THIS,KETO,586
BOYS,PREP,205
ZOEY,THAT,90
TROY,DIES,84
MUSS,HAND,154
NIGH,LOST,8932
COME,FROM,11341437
SITE,SEEM,1975
JEFF,EAST,244
THAN,GOLD,140820
LINE,GEAR,1314
OVER,CAPO,68
PLAY,LETS,537
TANG,RULE,633
DOSE,LESS,1639
CARD,LAID,729
WITH,FOLK,46173
CLAY,CELL,980
YALE,GAVE,1168
EAST,THIS,17246
MOON,BOYS,594
URGE,IRAN,162
KNOT,CLIP,600
WHEN,POPE,62628
WALL,FROM,113572
SELF,PUTS,912
INTO,DUAL,2998
STEP,MUCH,1784
COLD,SNOW,13010
OVER,JOHN,26936
HOLT,WITH,2245
GIRL,CHIC,68
YALE,NAVY,173
GOOD,DOWN,7951
BANK,LINE,9477
FINE,SALT,11586
REDO,FILE,165
DOTY,WERE,267
CAFE,MENU,1012
SALE,INTO,13616
SAME,TALE,47550
WHAT,MINE,11886
STOP,GARY,96
FIRE,WILL,108539
BEEN,NULL,3693
BANK,PAYS,22748
HUGE,SEAL,1117
TRUE,ORAL,1241
MAUI,WILL,314
MUCH,KURT,67
IDEA,PLAY,379
THEV,LIVE,1300
WELL,MUST,25320
MAYO,BOYS,221
VERY,WELL,9748897
WITH,FSBA,199
CUBA,GROW,62
YOUL,THEY,153
LEAR,FELL,87
SIGN,WITH,153542
EVEN,LEAS,269
GARD,SUCH,84
NOTE,WITH,217750
LAST,WELD,245
VERY,FIRE,8493
WILD,SIDE,29098
ACID,HITS,159
SICK,WIFE,29116
FOUR,MAHA,238
BEAM,GETS,993
XIII,LATE,115
ALSO,RAMA,749
LOON,FUND,314
TIME,PRAY,1636
HENS,WERE,29770
DECI,SION,4158
BEER,EACH,4026
EGGS,ONLY,9710
THAT,LONE,25919
MUST,BEEF,126
HOST,TONY,153
NODS,WITH,5970
DAYS,HAST,296
BOWL,WERE,7300
FROM,LOOK,6469
JUST,PAID,35614
WITH,PMCS,230
LIFE,CARD,429
OCLC,ALSO,373
THEY,LEND,77489
BATH,SOAP,5664
FIRS,WERE,3774
SAKE,HAVE,7861
AMMO,HAVE,60
WITH,SUCH,12546522
LAST,BEAU,193
ORFS,WITH,644
AUNT,RUBY,4606
HTML,TAGS,62084
MORE,GAGE,126
HAVE,SEEN,17365023
FROM,THUS,23397
COMO,NUBE,359
ORFF,USED,58
TEST,MORE,26271
FIVE,NOTE,1914
FROM,SAHA,694
SMUG,SELF,8582
LADY,LIFE,510
SEED,WILL,60421
RICE,MUST,6156
MILK,DOWN,8350
QIAN,DIAN,129
MUST,KEEP,1043667
PAUL,PUTS,12700
BUSY,THAT,66115
RULE,WELL,17771
HEAD,NECK,91416
EYES,HARE,135
RUSS,REID,168
SOME,PAHS,811
MIND,ROAM,2605
FOLL,INTO,94
SAID,KIRK,8617
URDU,WILL,954
THEY,WASH,47212
JANE,SAID,87816
FINE,WOOL,46172
USED,FUEL,7466
KOYA,THAT,65
FALL,INTO,4156770
TILE,BACK,848
NACH,OBEN,11801
HURT,LOOK,14005
CHIP,RATE,8462
HELD,SWAY,218888
DALE,KNEW,1603
HEAR,EVEN,23101
COME,TRUE,685571
INCH,LONG,358525
HATE,THEE,18752
BOTH,LIFE,63756
REAP,WITH,4871
INTO,TIME,91313
FROM,PATI,373
EAST,SIDE,1539561
USED,MARK,5159
EACH,HOPE,2471
LEFT,NOLA,120
ACTS,LIKE,333839
THEN,TYPE,114202
THAT,AMID,31864
FREE,BEER,18258
YMCA,TOLD,53
THAN,OXEN,4202
BEEN,SOLD,778330
UGLY,MONK,81
VAST,HOLE,1913
TOWN,ROLE,94
SOON,FUEL,97
TOLD,THAT,5001271
EVER,LAID,54299
EVEN,WEAK,13704
WORN,DOWN,217463
HUTS,LIKE,3887
RUNG,ALSO,174
HOME,THAT,686135
PLAY,DUMB,16426
DOES,ZORA,68
INCH,LAND,432
EACH,TIER,28811
SAFE,AREA,33841
THEN,SCAT,109
TASK,DIED,47
FOOD,LACK,504
SICK,THAT,51783
SHOW,WAYS,6466
DONE,DAVE,55
LONG,LAST,343574
DEEP,WOMB,469
WIND,DATA,24180
FIND,INNS,262
THEY,WERE,126269754
FOUR,HAVE,71138
MEET,THIS,742631
TIDY,HERE,259
ALSO,CHOW,581
WITH,EYES,722284
THAT,LONG,1363421
LIKE,ROCK,36142
NEXT,HEAR,11261
WHAT,SHAW,8955
MINE,POOL,265
FRAT,KIDS,68
WIFE,WORD,267
ROME,MAIN,45
THAT,TOOL,29505
BENT,POST,177
DEEP,BASS,35248
WORK,PLAN,77323
TIME,PAST,416027
KNEW,DUNN,91
SLAP,BANG,2831
LONG,THAW,285
IRON,BARS,202710
BOAT,MOST,1325
PECO,ARTS,126
OVER,TIME,6416379
FOOT,WASH,367
TRIP,WALK,959
BUSH,ONLY,2537
DOOR,EVIL,47
DAVE,WONG,56
HAST,SEEN,46396
LIKE,LUCY,14529
SLIM,HIPS,11223
CART,AWAY,10649
JETS,THAT,11982
RIDE,LIES,111
THAT,SINO,6839
COME,BACK,6522431
HIER,EINE,10369
RATE,TRAP,202
HERE,SEEN,45908
LIKE,BMDP,59
ONCE,BEEN,1399163
FITH,THAT,54
FALL,IDLE,560
MAIS,PUIS,687
GRAY,BETH,126
WHAT,MAMA,12775
ROSE,BOWL,61122
DEAD,NODE,321
PAIR,THAN,5724
OPUS,MEUM,309
WITH,WARS,28646
SIBS,FROM,887
JOVE,WHEN,873
THIS,CURB,3202
DOWN,HOLY,680
VEGA,CAME,426
DAYS,POLK,91
CONE,TRID,97
WEAR,THIS,86042
MUST,FALL,372367
FROM,FALL,32675
ODDS,WITH,891260
THAT,ORAN,726
WHAT,THEV,13317
RUTH,LAKE,857
FURS,HERE,522
PUTS,HUGE,287
THEN,GEMS,168
BEEN,LONG,1118700
KNOB,WELL,62
RATE,ALSO,44560
WENT,THEY,33511
MORE,BTSS,98
BLUE,NEED,119
BEST,SOIL,24035
ABEL,ETAL,239
DOES,MERE,3806
RAGS,UPON,2141
FORT,GOOD,11192
MESS,HALL,131081
COST,FOUR,19173
DULY,MADE,76500
CALL,EACH,88740
ALSO,MENT,344
INCA,DATE,190
SEND,MORE,82102
GRIP,UPON,46933
HALF,ACRE,42402
JEFF,FELL,509
AREA,USED,46924
VIEW,MADE,12815
WHAT,THAT,1686859
PIMA,MINE,279
OVER,ARMY,6278
COED,ONES,81
WORK,HARD,850557
PICK,INTO,6565
WAUN,FACH,150
LEFT,SHOT,1293
CANE,WELL,292
FAIR,EMPL,29703
WORD,MARK,10030
PARK,TOUR,1870
CASE,TOLD,3547
TELL,TOLD,2277
LOSE,NINE,1189
WHEN,THIS,6460893
HOLD,DAYS,214
HERE,WHAR,205
FACE,MANY,63522
LEFT,MORE,83662
CITY,FROM,452586
FORM,NEED,6933
ROTH,TAKE,56
THIS,ROCK,311011
GOOD,TOUR,3667
LIRE,FINE,368
ALSO,KING,32204
CASA,WITH,876
HELD,TOWN,4122
ELSE,LAST,1496
WILL,DENT,1276
GULF,RUNS,405
WITH,MILD,379010
DAMN,YARD,176
WHAT,ADAT,59
FROM,GROS,1677
SUCH,VILE,20669
COCK,SIZE,248
GAVE,ALEX,2975
YIDS,HAVE,101
MAIN,MAKE,302
FEAR,CASE,93
PLUM,SOFA,87
WITH,LACK,105597
HAVE,BSEN,3678
SUCH,PLAY,29387
THAT,DEFF,167
LAST,FACT,39936
WHEN,HOLT,3089
WORD,LIKE,123878
THEM,RIDE,16010
TINY,LANE,905
LINE,GUNS,567
LOOK,WELL,216304
DAMN,BUSY,2680
SAID,MARY,221048
AMES,DIAL,605
HAIR,HUNG,71503
THAT,HARD,279594
BEST,LIES,2065
KNOW,RULE,604
CEUX,DONT,8212
PAUL,KAHN,1675
JUST,WOKE,14790
COLD,CALL,13026
SHOW,BORN,84
FOLK,HERE,8425
HEED,THAT,52878
FROM,FENG,3156
VIVO,DRUG,3492
SAND,WAVE,3672
THEM,BEND,5102
THAN,SOME,867821
HUSH,LONG,44
FULL,CART,1189
DEMY,ALSO,179
SOIN,AVEC,241
SEAT,SEAT,1171
WILL,WAIT,312420
POOR,TITO,151
TINT,MORE,1045
YOUR,SOAP,8100
COME,OVER,1599181
PAID,THAN,38062
USED,HYPO,206
SHOW,POOR,18751
CORN,NEAR,2461
LAKE,CHAM,2258
THIN,LEFT,955
WITH,ROWS,131891
FLUE,DUST,15911
PAID,LYON,77
DOWN,JANE,755
WEBS,WILL,1718
FEET,HIGH,2441885
MDCS,HAVE,480
MUNI,ONCE,114
SOFT,BEAT,1521
GULP,FUEL,77
RICH,BRED,41
EVEN,ODDS,4493
DEAD,CATS,15760
BEST,NEAR,5004
FANS,CALL,1472
POEM,EVEN,4513
EARN,BOTH,3121
GRAB,HOLD,59811
PLAN,THAT,885568
VIEW,WILL,130883
SONS,WERE,369957
EACH,ROBE,754
IONE,WITH,213
RIES,MORE,92
SEEM,CAST,1098
CARD,SAFE,178
HOLD,WAGE,1063
LOVE,LOST,58619
LERS,THAT,117
DUNG,GATE,5827
QUIA,NATI,58
LOGS,ONTO,7456
WITH,LICK,639
EVEN,FROM,1746037
FROM,THIS,25542508
FROM,YHWH,4954
ENDS,BACK,5239
HELP,JEFF,1035
LEAF,DROP,8998
OVER,ROWE,136
MUCH,RISK,78165
SOME,BOOK,74118
YOUR,LOAN,59622
BUCK,ROSS,285
THIS,ERRS,333
OICE,THAT,106
BITE,OPEN,685
CAPD,WILL,253
KONG,KUNG,764
FREE,THEM,137322
HEAR,ROAR,98
CRAP,GAME,20538
BAKE,OVEN,10475
WHAT,DARE,2069
MANN,USED,1634
LATE,LOGO,384
WORM,MOTH,2828
COMB,SIDE,134
SAID,BECK,2226
ABAZ,KUPI,485
DUTY,FROM,70019
THIS,BEEN,170170
HEAR,KURT,250
WITH,NKVD,839
BUSH,THIS,2635
FEET,LOUG,237
GOOD,MANY,1411524
CARY,GREW,76
ALEC,THIS,127
HAHN,WITH,687
ARTS,SHOP,2814
PUJA,ROOM,3479
LEAD,PAUL,669
HALF,THAT,627923
VADO,MORI,549
THIS,HATE,12426
DOST,SHOW,2161
WITH,SAIL,14930
CASH,CROP,172741
WELL,OMIT,3225
SOLD,WHOM,71
EYES,HERS,124
KIND,WITH,196806
TAKI,DIED,79
POEM,READ,9729
FROM,MIND,63123
BOMB,DUMP,1231
WALT,THEN,371
FORT,PITT,124696
THEM,WILL,1237643
WERE,KAAB,70
REEF,RICH,66
ROAD,TOLL,4454
PAST,NINE,193930
GUYS,WITH,56681
QUAM,CURA,193
RICH,WIFE,18777
GREY,GOWN,4628
HARP,SEAL,15505
RULE,UPON,44344
THEN,BALD,294
EACH,SLUG,1002
JESU,WITH,137
SAID,THAT,26490673
HELD,MILK,513
ZONE,WIDE,330
HERO,INTO,17135
FEET,STEP,2037
LESS,CALL,3837
MESH,AREA,889
STEM,MEAL,308
ROOM,HAVE,27323
FANG,TANG,285
HARD,EVER,3060
TEST,THAN,61500
BIRD,SONG,39571
ONCE,WORD,8399
SAID,SURE,18579
SAME,TIME,38681475
THAT,NAMU,331
PIER,AXIS,89
INSB,FILM,240
META,THAT,575
TERM,FEES,1179
SHIN,AREA,531
POEM,THAT,268705
COMB,WASH,1086
DECK,THIS,5337
FIVE,FIRE,3813
THEE,AIRS,1245
LEAD,ORES,37087
SALT,ROAD,2371
TACS,HAVE,267
BODY,COST,339
SHIP,SKIN,67
NUTR,SOIL,234
BOAS,USED,554
TORN,MATS,221
SHOW,JOHN,5473
THIS,POEM,1045100
TAXI,FULL,327
SAME,THAT,227583
WIDE,BEST,501
THEM,GAVE,103999
TWIN,BORN,1717
THIS,COUP,28195
LION,EVER,1274
USER,DATA,102285
UPON,CEOS,53
THEY,PART,54662
BEND,LONG,450
ONCE,PAGE,418
PART,NOTE,1343
TELL,MISS,36265
THAT,WORK,1813948
ONTO,DRUG,172
SAID,SEAN,11739
BARE,WOOD,25264
SAIL,THIS,10329
SAYS,BUDD,130
SOLD,LAND,27963
LONG,YALE,67
BEGG,WILL,56
THIS,HIGH,846064
SORT,WILL,49618
PTSD,THAT,1920
BUTT,LIKE,1946
EACH,PUTS,4239
TURK,NEED,59
WING,TEAL,1350
BUST,MADE,2186
LABS,THEY,451
FELT,EYES,4689
CUTE,BOYS,2981
HOMO,THIS,259
OWEN,SONE,81
LAWS,HAVE,369775
HENG,ALSO,152
CASE,SITE,1122
WITH,MPTP,2220
PEAK,LIKE,3664
RAMA,DEVA,591
HEAR,MAKE,546
JUST,WHEN,1032831
THEY,FLIT,11007
CULT,WITH,17398
AHOM,KING,8375
ORAL,BIOL,51910
SUCH,SHIP,67913
RAIL,LONG,280
SOOT,OVER,1592
TANT,VIEW,88
VAST,THAT,77402
THUS,MOLD,356
MUTY,GENE,138
BEAR,CAME,20223
VERY,SEXY,30466
WAIS,WAIS,240
HUGE,EDGE,716
HIGH,TEST,28160
REEL,CART,497
LINE,HALF,7865
FIND,FREE,15888
ANNA,DAWE,482
FROM,JOHN,638037
THIS,VAST,705392
THIS,DISH,141545
THAT,HOME,253447
MALE,RATS,114970
LIKE,THIS,9351061
MILK,NUTS,399
BIEN,CELA,756
COPY,SENT,28933
USAF,JUNE,488
AFSC,WERE,83
STAY,WILL,18230
LINE,SITE,2253
PAIN,WHEN,138351
EVEN,GAOL,78
UCSD,WERE,73
MOST,MEEK,2762
PALL,MALL,386750
WITH,BETA,47956
PULL,HAND,531
NOWE,MAIE,46
TAKE,BEAR,606
RAIL,YARD,9566
NUDE,MICE,64927
THAT,DARK,264583
SIGN,FROM,179742
LAST,DIED,14666
DOES,JUST,74123
PLUS,BEAU,16004
WILD,SEAS,5033
NEED,DOES,14255
MIKE,PICK,131
MADE,THEM,3250308
LIKE,FLAN,190
THIS,SLOW,117743
NEVA,GATE,206
THAT,PAGE,133367
REST,DARK,738
THAT,SKIM,4489
RIND,ADDS,58
SHEW,SOME,8400
JEAN,SEEN,44
GODS,KEPT,1383
WITH,STEP,76221
AMID,GREY,302
BRIG,FAME,227
HALF,THEN,4750
RILL,WILL,163
OVID,HAVE,1020
RICE,EVEN,1943
NEXT,BIRD,2251
THAT,THSY,791
TUBE,BEND,425
BIRD,CAGE,30869
JANE,RAPH,100
WHAT,DISH,2170
VERY,PALE,291345
LOVE,TYPE,1317
THEN,HAVE,1705750
GOOD,FOOD,473351
FROM,NUMA,2459
SOME,HIRE,1532
COST,NOTE,1358
POOR,ABBY,474
SPSS,THIS,190
FROM,CITY,296725
ROAR,BACK,2008
TEWA,GIRL,60
YORK,FACE,360
TAXI,TOOK,5439
DOES,WHEN,220803
BABY,FIVE,919
LOOP,BACK,25050
SACS,THAT,9148
INCA,UPON,79
TOBY,ROSE,472
VERY,NEAR,1230767
POOH,KAYE,219
JARS,WERE,37096
OXEN,MOST,98
WERE,LONG,615635
WITH,SLOT,7390
FARE,TRIP,58
YOUR,FOOD,250946
TUOS,AMAS,69
MANY,MANY,68670
XBTS,WERE,111
HELP,BONE,304
WENT,SAFE,770
DVDS,WITH,1771
SEEN,KING,4052
SAID,TALL,1866
WAVE,LAMP,393
ELSE,THEY,454022
TENS,LIKE,146
KENT,LIKE,195
POOR,POET,15743
RUPP,TOOK,88
SUCH,ANNO,98
SEEN,WIND,345
LONG,TENN,943
COOK,THAN,9266
SEEN,DUSE,260
THIS,NOTE,700611
JOHN,ROAF,413
BUCK,LAND,947
THIS,RACY,1510
LEFT,KOME,91
ONLY,RUIN,11997
AGES,DOWN,9860
YOUR,MAIL,93536
HEAD,NODE,7573
AUNT,THEO,939
TUNG,SHEN,90
CITY,RACE,2010
MANN,WHEN,982
THAT,HONG,47024
RUSK,CAME,575
FLAG,RANK,10168
YOUR,FREE,126774
MORN,BLEW,54
TIME,THAN,1074844
YOUR,NULL,2186
NONE,MORE,266278
WHAT,FATE,54782
VATA,VATA,117
BABY,BOWL,120
FROM,PORT,278586
MOST,FARM,27982
LENS,HOLD,71
LAND,LOCK,123
FIND,SOME,1784343
LANE,GREY,153
COPY,FREE,21894
WARM,DUSK,1966
OVER,SANS,167
CUTS,SUCH,4750
WEEK,DAYS,51943
SAID,BABS,2081
REEF,WERE,4259
VERY,DATE,11563
HEAD,HANG,4548
WEAK,SHOW,757
MIKE,WITH,10587
DUTY,WEAR,709
ANNE,THEN,2250
EJUS,TRES,129
MILD,THAT,22040
WHAT,BABY,7391
BLOC,PLAN,166
THIS,FAKE,8411
PALL,MAIL,1180
REEF,CLUB,3491
DEVE,PURE,76
REAL,TEST,132525
HAVE,SENT,1106730
COLI,RECQ,657
THIS,HERE,339642
WEEK,BOOK,6629
HEAD,ECHO,445
THAT,GALL,8881
THAT,MESS,39879
EVEN,OGLE,54
VERV,NICE,309
JOHN,GAVE,41946
QIAN,FELT,65
FROM,HOLL,238
ISPS,SEND,44
KNEW,BEST,91419
INTO,SHIN,358
BOTH,TIPS,2241
DOWN,INTO,4119762
GILL,LANE,68
WITH,NINE,282472
KONG,WAGE,69
MANY,HONG,5974
THAT,AREA,1205287
AWAY,INTO,775417
FAKE,ONCE,61
HOPE,WITH,91080
FOLD,MANY,1376
WITH,FATE,56178
MAIN,LINE,587672
EVEN,WITH,4731740
SIGH,MORE,1446
FILL,LOAD,396
TOLD,RICH,1436
LADY,WOLF,114
